City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Kuminskiy,RU,2022-05-04 15:53:33,58.6667,66.5667,53.17,39,61,11.56
67,Itarema,BR,2022-05-04 15:53:33,-2.9248,-39.9167,84.27,72,95,11.63
68,Richards Bay,ZA,2022-05-04 15:53:33,-28.783,32.0377,70.16,84,0,9.4
69,Joao Pinheiro,BR,2022-05-04 15:53:34,-17.7425,-46.1725,87.46,33,13,7.67
70,Bouca,CF,2022-05-04 15:53:34,6.5105,18.2733,88.02,39,86,5.17
71,Piazza Armerina,IT,2022-05-04 15:53:34,37.3859,14.3672,69.55,41,44,1.48
72,Yabassi,CM,2022-05-04 15:53:35,4.457,9.9682,82.98,72,100,3.58
73,Pfaffikon,CH,2022-05-04 15:53:35,47.3645,8.792,64.78,65,20,2.3
74,Bonthe,SL,2022-05-04 15:53:35,7.5264,-12.505,86.61,66,56,10.63
75,Vardo,NO,2022-05-04 15:53:36,70.3705,31.1107,24.78,86,75,16.11
76,Wladyslawowo,PL,2022-05-04 15:53:36,54.7909,18.4009,55.0,56,45,12.41
77,Quatre Cocos,MU,2022-05-04 15:53:37,-20.2078,57.7625,78.91,81,16,17.9
78,Port-Gentil,GA,2022-05-04 15:53:37,-0.7193,8.7815,80.56,78,20,3.44
79,Acarau,BR,2022-05-04 15:53:37,-2.8856,-40.12,84.51,71,82,11.27
80,Polyarnyy,RU,2022-05-04 15:53:38,69.1989,33.4478,28.87,65,100,19.3
81,Carnot,CF,2022-05-04 15:53:38,4.9409,15.8665,76.24,80,78,11.86
82,Wawa,NG,2022-05-04 15:53:38,9.9022,4.4192,95.58,37,100,5.53
83,Los Llanos De Aridane,ES,2022-05-04 15:53:39,28.6585,-17.9182,65.95,74,75,16.11
84,Morant Bay,JM,2022-05-04 15:53:39,17.8815,-76.4093,89.71,72,11,14.07
85,Cockburn Town,TC,2022-05-04 15:53:39,21.4612,-71.1419,78.85,77,59,15.61
86,Boksitogorsk,RU,2022-05-04 15:53:40,59.474,33.8485,38.21,40,56,9.64
87,Santarem,BR,2022-05-04 15:53:40,-2.4431,-54.7083,82.53,83,75,5.75
88,Chapais,CA,2022-05-04 15:52:37,49.7834,-74.8492,31.78,67,98,9.82
89,San Cristobal,VE,2022-05-04 15:53:40,7.7669,-72.225,84.38,53,70,7.65
90,Laguna,US,2022-05-04 15:53:41,38.421,-121.4238,73.02,59,0,5.75
91,Ribeira Grande,PT,2022-05-04 15:53:41,38.5167,-28.7,66.6,82,40,8.05
92,Durg,IN,2022-05-04 15:54:42,21.1833,81.2833,91.58,24,21,6.93
93,Gerash,IR,2022-05-04 15:54:42,27.6652,54.1371,89.74,11,0,3.74
94,Faya,SA,2022-05-04 15:54:42,18.3851,42.4509,75.31,54,48,9.37
95,Klaksvik,FO,2022-05-04 15:54:43,62.2266,-6.589,45.52,80,71,24.83
96,Pangnirtung,CA,2022-05-04 15:54:04,66.1451,-65.7125,10.4,85,20,8.05
97,Itapuranga,BR,2022-05-04 15:54:43,-15.5622,-49.9486,87.58,38,4,5.73
98,Borujerd,IR,2022-05-04 15:54:43,33.8973,48.7516,71.83,40,4,8.9
99,Mahajanga,MG,2022-05-04 15:54:44,-15.7167,46.3167,82.42,74,40,5.75
100,Tasiilaq,GL,2022-05-04 15:54:44,65.6145,-37.6368,25.47,70,100,9.8
101,Luderitz,NA,2022-05-04 15:53:57,-26.6481,15.1594,68.77,57,4,5.37
102,Morros,BR,2022-05-04 15:54:45,-9.4467,-46.3003,91.13,40,55,5.59
103,Tromso,NO,2022-05-04 15:54:45,69.6496,18.957,33.82,80,40,2.3
104,Leh,IN,2022-05-04 15:54:45,34.1667,77.5833,50.52,36,64,6.26
105,Nanortalik,GL,2022-05-04 15:54:46,60.1432,-45.2371,32.92,82,62,11.01
106,Chuy,UY,2022-05-04 15:54:46,-33.6971,-53.4616,66.9,65,44,7.2
107,Hithadhoo,MV,2022-05-04 15:54:46,-0.6,73.0833,85.26,70,100,16.55
108,Dharchula,IN,2022-05-04 15:54:47,29.85,80.5333,67.78,73,98,4.45
109,Tiznit,MA,2022-05-04 15:54:47,29.5833,-9.5,65.59,50,0,15.28
110,Paita,PE,2022-05-04 15:54:47,-5.0892,-81.1144,72.73,69,65,10.02
111,Alencon,FR,2022-05-04 15:51:01,48.4333,0.0833,60.42,67,84,9.51
112,Takoradi,GH,2022-05-04 15:54:48,4.8845,-1.7554,85.15,69,84,9.82
113,Kutum,SD,2022-05-04 15:54:48,14.2,24.6667,94.96,15,32,14.05
114,Umm Lajj,SA,2022-05-04 15:54:48,25.0213,37.2685,84.13,55,34,7.78
115,Castro,BR,2022-05-04 15:54:49,-24.7911,-50.0119,55.13,77,65,11.16
116,Bosaso,SO,2022-05-04 15:54:49,11.2842,49.1816,85.28,71,75,3.98
117,Mocuba,MZ,2022-05-04 15:54:50,-16.8392,36.9856,68.2,97,31,4.38
118,Doschatoye,RU,2022-05-04 15:54:50,55.3825,42.1072,44.6,60,92,9.75
119,Arlit,NE,2022-05-04 15:54:50,18.7369,7.3853,106.65,6,32,8.66
120,Lebu,CL,2022-05-04 15:54:51,-37.6167,-73.65,58.5,77,100,16.26
121,Iracoubo,GF,2022-05-04 15:54:51,5.4802,-53.2011,74.79,95,100,5.48
122,Kismayo,SO,2022-05-04 15:54:51,-0.3582,42.5454,80.06,82,100,13.49
123,Tocopilla,CL,2022-05-04 15:54:52,-22.092,-70.1979,69.69,61,2,5.79
124,Ponta Delgada,PT,2022-05-04 15:54:52,37.7333,-25.6667,65.12,68,75,9.22
125,Rocha,UY,2022-05-04 15:54:52,-34.4833,-54.3333,66.42,58,0,4.27
126,Saint Anthony,US,2022-05-04 15:54:53,45.0205,-93.218,58.08,55,0,4.61
127,Souillac,MU,2022-05-04 15:54:53,-20.5167,57.5167,79.18,78,40,13.8
128,Fomboni,KM,2022-05-04 15:54:53,-12.28,43.7425,81.55,74,33,6.44
129,El Paraiso,HN,2022-05-04 15:54:54,13.8667,-86.55,82.87,56,85,5.06
130,Adamas,GR,2022-05-04 15:54:54,36.7333,24.4333,60.35,65,4,7.52
131,Tshikapa,CD,2022-05-04 15:54:55,-6.4167,20.8,80.22,70,81,2.42
132,Oranjemund,NA,2022-05-04 15:54:55,-28.55,16.4333,61.25,72,3,5.93
133,Saint-Georges,GD,2022-05-04 15:54:55,12.0564,-61.7485,80.28,83,75,16.11
134,Lagoa,PT,2022-05-04 15:54:56,39.05,-27.9833,62.87,83,100,10.67
135,Nusaybin,TR,2022-05-04 15:54:56,37.0778,41.2178,74.79,33,75,20.98
136,Benguela,AO,2022-05-04 15:54:56,-12.5763,13.4055,81.41,65,7,4.0
137,Sur,OM,2022-05-04 15:54:57,22.5667,59.5289,83.17,67,0,3.49
138,Orhei,MD,2022-05-04 15:55:57,47.3831,28.8231,60.69,55,82,9.73
139,Misratah,LY,2022-05-04 15:55:57,32.3754,15.0925,72.72,57,0,20.51
140,Rio Gallegos,AR,2022-05-04 15:55:58,-51.6226,-69.2181,46.45,57,0,13.8
141,Ciudad Bolivar,VE,2022-05-04 15:55:58,8.1222,-63.5497,91.87,44,76,10.87
142,Ubinskoye,RU,2022-05-04 15:55:58,55.3068,79.6802,48.74,40,29,6.98
143,Hofn,IS,2022-05-04 15:55:59,64.2539,-15.2082,44.62,49,75,19.57
144,Ponta Do Sol,PT,2022-05-04 15:55:59,32.6667,-17.1,70.12,59,73,4.32
145,Kidal,ML,2022-05-04 15:56:00,18.4411,1.4078,102.22,5,15,4.54
146,Pershotravneve,UA,2022-05-04 15:56:00,51.3929,28.8684,49.6,44,1,9.33
147,Harnosand,SE,2022-05-04 15:56:00,62.6323,17.9379,46.42,64,91,12.8
148,Isla Mujeres,MX,2022-05-04 15:56:01,21.2311,-86.731,86.16,70,50,12.28
149,Pafos,CY,2022-05-04 15:54:26,34.7667,32.4167,65.98,72,40,16.11
150,Harper,LR,2022-05-04 15:56:01,4.375,-7.7169,85.66,68,20,8.81
151,Palasa,IN,2022-05-04 15:56:02,18.7667,84.4167,83.61,79,21,9.28
152,Havoysund,NO,2022-05-04 15:56:02,70.9963,24.6622,30.43,59,100,13.56
153,Uyuni,BO,2022-05-04 15:56:02,-20.4597,-66.825,52.16,12,6,6.24
154,Farkhor,TJ,2022-05-04 15:56:03,37.4922,69.4036,65.7,81,99,4.88
155,Iranshahr,IR,2022-05-04 15:55:37,27.2025,60.6848,98.94,9,0,9.22
156,Stornoway,GB,2022-05-04 15:56:03,58.2093,-6.3865,52.93,70,75,13.8
157,Nola,IT,2022-05-04 15:52:09,40.922,14.5329,74.05,56,49,8.01
158,Iqaluit,CA,2022-05-04 15:51:21,63.7506,-68.5145,10.13,67,20,25.32
159,Chitral,PK,2022-05-04 15:56:04,35.8462,71.7858,62.82,66,84,2.62
160,Alta Floresta,BR,2022-05-04 15:55:49,-9.8756,-56.0861,80.42,83,100,3.44
161,Marystown,CA,2022-05-04 15:56:04,47.1666,-55.1483,44.98,72,95,3.51
162,Gat,IL,2022-05-04 15:53:00,31.61,34.7642,69.82,100,33,13.24
163,Ilulissat,GL,2022-05-04 15:56:05,69.2167,-51.1,19.51,81,100,6.35
164,Salalah,OM,2022-05-04 15:56:05,17.0151,54.0924,83.01,76,0,2.8
165,Anastacio,BR,2022-05-04 15:56:06,-20.4836,-55.8069,74.17,37,0,6.44
166,Buchanan,LR,2022-05-04 15:56:06,5.8808,-10.0467,84.61,71,97,6.96
167,Sechura,PE,2022-05-04 15:56:07,-5.5569,-80.8222,76.55,58,47,8.46
168,Bambous Virieux,MU,2022-05-04 15:56:07,-20.3428,57.7575,79.05,78,40,13.8
169,Bathsheba,BB,2022-05-04 15:56:07,13.2167,-59.5167,86.61,66,75,16.11
170,Jadu,LY,2022-05-04 15:56:08,31.953,12.0261,86.16,9,17,12.57
171,Wald,CH,2022-05-04 15:56:08,47.276,8.9141,61.61,56,48,4.0
172,Sabha,LY,2022-05-04 15:56:09,27.0377,14.4283,91.0,11,1,14.63
173,Talnakh,RU,2022-05-04 15:56:09,69.4865,88.3972,27.21,94,98,14.99
174,Sao Sebastiao,BR,2022-05-04 15:56:09,-23.76,-45.4097,79.21,69,99,3.36
175,Jizan,SA,2022-05-04 15:56:10,17.3333,42.6667,92.34,48,0,6.49
176,Severnoye,RU,2022-05-04 15:56:10,56.3491,78.3619,46.8,45,29,5.41
177,Vila Velha,BR,2022-05-04 15:55:17,-20.3297,-40.2925,91.35,54,0,14.97
178,Daund,IN,2022-05-04 15:56:11,18.4667,74.6,91.76,27,0,16.89
179,Lubumbashi,CD,2022-05-04 15:56:11,-11.6609,27.4794,65.21,81,41,3.51
180,Touros,BR,2022-05-04 15:56:12,-5.1989,-35.4608,83.62,76,66,16.13
181,Havelock,US,2022-05-04 15:56:12,34.8791,-76.9013,83.98,81,92,7.0
182,Thompson,CA,2022-05-04 15:56:13,55.7435,-97.8558,23.16,80,100,13.8
183,Torbay,CA,2022-05-04 15:56:13,47.6666,-52.7314,44.89,84,100,12.66
184,Salmas,IR,2022-05-04 15:56:13,38.1973,44.7653,57.4,73,38,2.08
185,Haverfordwest,GB,2022-05-04 15:52:56,51.8017,-4.9691,59.25,74,42,3.0
186,Kars,TR,2022-05-04 15:57:14,40.602,43.095,52.41,72,94,3.24
187,Soverato,IT,2022-05-04 15:57:14,38.685,16.5499,69.15,61,15,4.09
188,Sakakah,SA,2022-05-04 15:57:15,29.9697,40.2064,92.77,16,38,14.43
189,Cayenne,GF,2022-05-04 15:55:16,4.9333,-52.3333,82.44,83,75,9.22
190,Mana,GF,2022-05-04 15:57:15,5.6592,-53.7767,76.15,91,100,5.48
191,Paramonga,PE,2022-05-04 15:57:16,-10.6667,-77.8333,70.27,75,35,7.85
192,Bubaque,GW,2022-05-04 15:57:16,11.2833,-15.8333,79.75,64,15,12.06
193,Husavik,IS,2022-05-04 15:54:14,66.0449,-17.3389,34.48,84,90,4.72
194,Rasskazovo,RU,2022-05-04 15:57:17,52.6714,41.9033,49.28,87,98,2.8
195,Emba,KZ,2022-05-04 15:57:17,48.8264,58.1442,54.81,56,62,9.01
196,Hit,IQ,2022-05-04 15:57:18,33.6416,42.8251,90.45,11,0,14.88
197,Qandala,SO,2022-05-04 15:57:18,11.472,49.8728,87.28,60,6,6.26
198,Bocas Del Toro,PA,2022-05-04 15:57:18,9.3333,-82.25,83.12,75,65,5.21
199,Asheville,US,2022-05-04 15:57:19,35.6009,-82.554,79.95,66,38,3.0
200,Changji,CN,2022-05-04 15:57:19,44.0167,87.3167,74.19,33,0,4.47
201,Nantucket,US,2022-05-04 15:57:20,41.2835,-70.0995,53.74,91,100,11.79
202,Guatire,VE,2022-05-04 15:57:20,10.4762,-66.5427,86.68,55,75,6.38
203,Wabrzezno,PL,2022-05-04 15:57:20,53.2799,18.9477,52.9,56,99,7.83
204,Selfoss,IS,2022-05-04 15:57:21,63.9331,-20.9971,44.04,50,81,3.89
205,Odweyne,SO,2022-05-04 15:57:22,9.4092,45.064,81.21,51,46,4.43
206,Bingol,TR,2022-05-04 15:57:22,38.8847,40.4939,58.05,75,100,3.71
207,Narsaq,GL,2022-05-04 15:57:03,60.9167,-46.05,36.73,53,13,4.85
208,Chhuikhadan,IN,2022-05-04 15:57:23,21.5333,80.9833,92.3,25,15,5.19
209,Zlobin,HR,2022-05-04 15:57:23,45.2924,14.6541,60.1,45,20,4.61
210,Saint George,US,2022-05-04 15:57:23,37.1041,-113.5841,63.79,31,0,1.01
211,Jardim De Piranhas,BR,2022-05-04 15:57:24,-6.3786,-37.3519,96.8,32,89,12.62
212,Shipitsyno,RU,2022-05-04 15:57:24,61.2806,46.5208,35.42,67,100,8.25
213,Lethem,GY,2022-05-04 15:57:25,3.3803,-59.7968,87.82,54,99,5.23
214,Sao Filipe,CV,2022-05-04 15:57:25,14.8961,-24.4956,73.9,75,3,11.1
215,Sunyani,GH,2022-05-04 15:57:25,7.3399,-2.3268,93.87,42,92,3.24
216,Santa Maria,BR,2022-05-04 15:57:26,-29.6842,-53.8069,67.3,77,75,12.66
