City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hobyo,SO,5.3505,48.5268,82.6,79,21,17.78,few clouds
79,Laguna,US,38.421,-121.4238,78.44,54,0,12.66,clear sky
80,Abonnema,NG,4.7084,6.7931,77.25,88,100,1.63,overcast clouds
81,Luderitz,NA,-26.6481,15.1594,56.86,86,2,13.24,clear sky
82,Kushmurun,KZ,52.4503,64.6311,38.88,47,26,7.45,scattered clouds
83,Kyzyl-Suu,KG,42.3414,78.0056,52.59,75,98,3.58,overcast clouds
84,Waddan,LY,29.1614,16.139,67.5,58,97,17.49,overcast clouds
85,Hamilton,US,39.1834,-84.5333,66.76,93,100,6.91,overcast clouds
86,Clyde River,CA,70.4692,-68.5914,14.23,92,0,8.05,clear sky
87,Mar Del Plata,AR,-38.0023,-57.5575,58.87,91,37,2.3,fog
88,Saint-Pierre,RE,-21.3393,55.4781,72.91,78,20,3.44,few clouds
89,Olonets,RU,60.9847,32.9698,41.95,97,33,6.46,scattered clouds
90,Kourou,GF,5.1552,-52.6478,78.12,93,100,6.31,overcast clouds
91,Skibbereen,IE,51.55,-9.2667,52.11,90,2,1.19,clear sky
92,Chimoio,MZ,-19.1164,33.4833,62.46,94,0,3.06,clear sky
93,Bubaque,GW,11.2833,-15.8333,78.26,73,7,13.8,clear sky
94,Georgetown,MY,5.4112,100.3354,84.13,93,20,3.44,few clouds
95,Riberalta,BO,-10.9833,-66.1,84.4,58,20,9.22,few clouds
96,Buenaventura,CO,3.8801,-77.0312,76.62,87,92,2.19,overcast clouds
97,Victoria,HK,22.2855,114.1577,78.19,84,100,4.0,overcast clouds
98,Kamina,CD,-8.7386,24.9906,64.51,83,99,2.8,overcast clouds
99,Lagoa,PT,39.05,-27.9833,60.3,72,5,5.03,clear sky
100,Zholymbet,KZ,51.7433,71.7122,41.49,47,96,9.73,overcast clouds
101,Filadelfia,US,39.9523,-75.1638,52.88,93,100,12.66,light rain
102,Grindavik,IS,63.8424,-22.4338,41.47,81,75,13.8,broken clouds
103,Iqaluit,CA,63.7506,-68.5145,19.13,73,75,15.01,broken clouds
104,Onda,ES,39.9667,-0.25,61.9,61,4,6.06,clear sky
105,Leeuwarden,NL,53.2014,5.8086,55.99,92,100,4.61,mist
106,Aksay,RU,47.26,39.87,50.25,44,67,13.0,broken clouds
107,Pimentel,PE,-6.8367,-79.9342,70.09,68,0,19.57,clear sky
108,Rudolstadt,DE,50.7167,11.3333,53.76,84,41,2.48,scattered clouds
109,Maniitsoq,GL,65.4167,-52.9,27.23,78,1,4.07,clear sky
110,Maridi,SS,4.9158,29.4742,67.01,97,89,0.65,moderate rain
111,Kontagora,NG,10.3999,5.4695,79.88,66,100,4.25,overcast clouds
112,Port Elizabeth,ZA,-33.918,25.5701,62.31,85,0,8.05,clear sky
113,Edgewater,US,28.9889,-80.9023,90.19,37,20,16.11,few clouds
114,Dahra,DZ,36.2546,0.8519,56.59,71,0,1.41,clear sky
115,Zabkowice Slaskie,PL,50.5897,16.8124,52.81,92,100,1.07,overcast clouds
116,Padang,ID,-0.9492,100.3543,75.63,94,100,4.34,overcast clouds
117,Shache,CN,38.4167,77.2406,71.74,30,100,13.22,overcast clouds
118,Kiruna,SE,67.8557,20.2251,41.92,75,20,25.32,few clouds
119,Iskateley,RU,67.6803,53.1512,30.13,97,100,15.88,light snow
120,Khorramshahr,IR,30.4397,48.1664,82.36,30,0,9.22,clear sky
121,Klaksvik,FO,62.2266,-6.589,36.52,62,66,9.89,broken clouds
122,Thinadhoo,MV,0.5333,72.9333,83.75,77,68,16.55,light rain
123,Riyadh,SA,24.6877,46.7219,82.54,26,34,8.19,scattered clouds
124,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,20,6.91,few clouds
125,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,14.97,few clouds
126,Shakhtinsk,KZ,49.71,72.5872,49.69,44,83,18.5,broken clouds
127,Saldanha,ZA,-33.0117,17.9442,55.45,84,55,18.77,broken clouds
128,Novi Ligure,IT,44.7608,8.7896,58.48,42,100,3.0,light rain
129,Chiredzi,ZW,-21.05,31.6667,63.55,59,0,3.85,clear sky
130,Sete,FR,43.4018,3.6966,64.44,59,46,15.37,scattered clouds
131,Strezhevoy,RU,60.7333,77.5889,26.04,87,100,26.46,light snow
132,Santa Maria,BR,-29.6842,-53.8069,56.5,94,20,4.61,few clouds
133,Pucallpa,PE,-8.3791,-74.5539,82.44,61,75,8.05,broken clouds
134,Sandwick,GB,60.0,-1.25,46.22,76,40,9.22,scattered clouds
135,Mecca,SA,21.4267,39.8261,75.29,46,0,6.87,clear sky
136,Carnarvon,AU,-24.8667,113.6333,57.27,67,49,8.05,scattered clouds
137,Bud,US,39.447,-86.1758,64.17,88,78,12.08,broken clouds
138,Cartagena,CO,10.3997,-75.5144,80.22,89,75,3.44,light intensity drizzle
139,Saint George,US,37.1041,-113.5841,95.63,9,0,9.22,clear sky
140,Strzelce Krajenskie,PL,52.8773,15.5298,49.93,77,33,2.84,scattered clouds
141,Sabinopolis,BR,-18.6661,-43.0839,66.96,95,65,2.48,broken clouds
142,Oume,JP,35.7839,139.2431,62.24,76,40,4.61,scattered clouds
143,Richards Bay,ZA,-28.783,32.0377,64.58,88,0,5.73,clear sky
144,Villaviciosa,ES,43.4813,-5.4357,56.16,89,69,4.61,broken clouds
145,Ivdel,RU,60.6911,60.4206,25.75,83,12,2.98,few clouds
146,Cidreira,BR,-30.1811,-50.2056,63.1,67,60,1.9,broken clouds
147,Erzurum,TR,40.0,41.5,38.88,85,100,4.61,overcast clouds
148,Goundam,ML,16.4145,-3.6708,92.7,15,98,8.7,overcast clouds
149,Garni,AM,40.1221,44.7312,45.27,83,100,3.36,overcast clouds
150,Namibe,AO,-15.1961,12.1522,74.75,68,0,3.09,clear sky
151,Detva,SK,48.5608,19.4195,56.21,89,100,4.43,overcast clouds
152,Saint-Felicien,CA,48.6501,-72.4491,47.08,29,20,9.22,few clouds
153,Venado Tuerto,AR,-33.7456,-61.9688,63.77,53,0,7.83,clear sky
154,Khash,IR,28.2211,61.2158,73.38,32,11,3.69,few clouds
155,Sindgi,IN,16.9167,76.2333,87.66,32,67,11.03,broken clouds
156,Berkak,NO,62.825,10.0118,37.09,91,100,10.92,light rain
157,Newtownards,GB,54.5924,-5.6909,49.95,91,15,0.0,few clouds
158,Andenes,NO,69.3143,16.1194,40.98,81,75,20.71,drizzle
159,Lebu,CL,-37.6167,-73.65,52.93,92,70,8.21,broken clouds
160,Mehamn,NO,71.0357,27.8492,39.15,87,75,17.27,broken clouds
161,Itarema,BR,-2.9248,-39.9167,76.39,89,99,14.16,overcast clouds
162,Gilching,DE,48.1021,11.2977,52.97,94,100,3.44,overcast clouds
